,Main Title Tier,Secondary Title Tier,Main Analysis
List of IBM products,0.8226563834516782,0.9082374779329658,0.979448021322471
Amdahl Corporation,0.7918420968942917,0.9644900412204682,0.9805849588123277
Midrange computer,0.7703456361894472,0.9761156085438166,0.9821051516486138
Linux on IBM Z,0.5549622607875091,0.9354461531271967,0.9697745490291696
IBM Secure Service Container,0.8563770033700032,0.9400308833576576,0.9929150397115127
Betül,-0.22207169434783508,,
Guyot Glacier,0.10117211311961626,,
Barnaby Fitzpatrick,0.09020141726968255,,
Louise Stanton,0.2196361731394602,,
Fitsum Arega,-0.13282802850640604,,
