,Main Title Tier,Secondary Title Tier,Main Analysis
List of IBM products,0.8564843230502421,0.986809585184378,0.9860237383247669
Amdahl Corporation,-0.33679463747040145,,
Midrange computer,0.1750536400402403,,
Linux on IBM Z,0.9262502610308826,0.9550854162512571,0.9680478037986406
IBM Secure Service Container,0.8623085192159882,0.9630150455416777,0.9874982242781404
History of IBM magnetic disk drives,0.7126880420159449,0.9106144307229033,0.4611391506724235
History of hard disk drives,0.8084765727801048,0.9847377571146522,0.7096214608990371
OS/360 and successors,0.28901509274105636,,
Category:IBM products,0.9076793768688969,0.9497076236996475,0.9639652074078889
Magnuson Computer Systems,0.1125251112549877,,
IBM System/390,0.6880065749192431,0.9751223846073447,0.9851969287086076
Trilogy Systems,0.5067987069640832,0.0012528538840594755,
Amdahl UTS,0.8630536517619716,0.9695963163591181,0.9939067923841256
