,Main Title Tier,Secondary Title Tier,Main Analysis
List of IBM products,,,0.9750175943578587
Amdahl Corporation,,,0.9722238802010987
Midrange computer,,,0.9896195235835017
Linux on IBM Z,,,0.9692041812070977
IBM Secure Service Container,,,0.9924445296779335
History of IBM magnetic disk drives,,,0.44990833764017224
History of hard disk drives,,,0.6934520275041467
OS/360 and successors,,,0.8962623983340846
Category:IBM products,,,0.9766775961514126
Magnuson Computer Systems,,,0.9616152072464867
IBM System/390,,,0.9814222904223796
Trilogy Systems,,,0.971169609074763
Amdahl UTS,,,0.9551498060113764
IBM mainframe,,,0.9995803392702874
Superminicomputer,,,0.9004157626030784
Minicomputer,,,0.9696299113757034
Microcomputer,,,0.9567574033028807
Comparison of Linux distributions,,,0.9884130491274168
OpenSolaris for System z,,,0.9812191958225477
PowerLinux,,,0.9945809681795255
UNIX System Services,,,0.9964814299584779
zIIP,,,0.9928186187571175
z Application Assist Processor,,,0.9943026443041715
Transaction Processing Facility,,,0.9565496990420868
VSE (operating system),,,0.980392303115117
History of the floppy disk,,,0.653163191667803
IBM System/360,,,0.8008653402834869
IBM System/370,,,0.9362825476136092
IBM 303X,,,0.8595302849111226
IBM 308X,,,0.8820033708924849
IBM 3090,,,0.9346294238671132
IBM Z,,,0.988400625943384
The Soul of a New Machine,,,0.9708661104826495
Charles Babbage Institute,,,0.9031429115139898
History of computing hardware (1960s–present),,,0.9465829937782247
Lists of microcomputers,,,0.9918506707244799
Mainframe computer,,,0.9911003842559968
Personal computer,,,0.9124135653466348
Supercomputer,,,0.9798104058804304
Portal:Free and open-source software,,,0.982421407729345
File:NewTux.svg,,,0.8637552036607056
Integrated Facility for Linux,,,0.9871737927591526
z/OS,,,0.9922995989951909
z/VM,,,0.9863927177124713
History of IBM mainframe operating systems,,,0.9708741248475081
Floppy disk variants,,,0.6979263327742157
List of floppy disk formats,,,0.8064058964557898
History of IBM,,,0.9289351417362223
IBM System/4 Pi,,,0.9538497613529859
Gerrit Blaauw,,,0.9657316381998974
Bob O. Evans,,,0.9410719908956849
PC-based IBM-compatible mainframes,,,0.9581097614015418
Hercules (emulator),,,0.9956440245946303
IBM 9370,,,0.941396505973312
Peer to Peer Remote Copy,,,0.904963666163967
Extended Remote Copy,,,0.9432223926690639
Logical partition,,,0.9891163518112389
HiperSocket,,,0.9909165581014631
ESCON,,,0.9176283676691113
FICON,,,0.9204821503742873
IBM Parallel Sysplex,,,0.984459885857068
Gameframe,,,0.9855991800339318
History of computing,,,0.9325919410925304
History of computing hardware,,,0.9316009309292301
History of operating systems,,,0.9993102844916011
History of the Internet,,,0.955239217043263
Internet governance,,,0.9332369295229617
List of pioneers in computer science,,,0.9795946290535545
Standards organization,,,0.9068940310731272
Influence of the IBM PC on the personal computer market,,,0.9667987240152295
Timeline of computing,,,0.9800359350777754
History of software,,,0.9884841271835655
Processor design,,,0.9444250684795747
History of the graphical user interface,,,0.9800563199896317
Timeline of programming languages,,,0.9212002765670524
Hardware description language,,,0.9688462754698667
Hardware abstraction,,,0.9839205619036684
Computer architecture,,,0.9776378375599519
List of fictional computers,,,0.9001024799913875
Fifth generation computer,,,0.9792005472571373
Quantum computing,,,0.9522775718926285
Curta,,,0.9286756004080214
Pirates of Silicon Valley,,,0.9321027773262816
Triumph of the Nerds,,,0.9186664219528006
Ubiquitous computing,,,0.9616512957627908
Internet of things,,,0.9636813475889624
Fog computing,,,0.977331430470848
Edge computing,,,0.94424182157203
Ambient intelligence,,,0.942645947264737
System on a chip,,,0.9826518125704748
Network on a chip,,,0.9805678823926893
Channel I/O,,,0.8941888605035587
Cloud computing,,,0.9915025697501377
Classes of computers,,,0.9680967569735921
Failover,,,0.978072866179932
File:Nuvola apps ksim.png,,,0.899995371084857
Portal:Technology,,,0.9457971722906096
ACM/IEEE Supercomputing Conference,,,0.9212956532643999
ACM SIGHPC,,,0.9524169217881353
High-performance technical computing,,,0.9469739432165503
Jungle computing,,,0.9125449029652746
Nvidia Tesla Personal Supercomputer,,,0.959077683633911
Parallel computing,,,0.9952730847659357
Supercomputing in China,,,0.935488912012948
Supercomputing in Europe,,,0.9290549646827712
Supercomputing in India,,,0.9437573977934789
Supercomputing in Japan,,,0.9204152562023662
Testing high-performance computing applications,,,0.9675871083942259
Ultra Network Technologies,,,0.9583792016153728
MVS,,,0.9622186069575034
HiperDispatch,,,0.9916286087883729
Intelligent Resource Director,,,0.9927849447084587
Resource Measurement Facility,,,0.9967901851154228
SDSF,,,0.9829040641501474
IBM System Management Facilities,,,0.9316047661928037
SMP/E,,,0.9631887698351346
Workload Manager,,,0.9927151077744073
PR/SM,,,0.9788561325715175
Time-sharing system evolution,,,0.9265081819167023
Timeline of operating systems,,,0.9913476025833735
Floppy disk,,,0.604394288669775
dd (Unix),,,0.8767653602708007
Disk image,,,0.911640960148837
Disk storage,,,0.682581234710385
Don't Copy That Floppy,,,0.9140083782506538
Floppy-disk controller,,,0.823009409975941
Floppy disk format,,,0.7557708469749008
Floppy disk hardware emulator,,,0.8135886521179664
Group coded recording,,,0.7002739717918272
Sneakernet,,,0.8179500957141893
Zip drive,,,0.6945419189828197
PocketZip,,,0.9161865776050403
Category:IBM,,,0.9316724051777544
Trabant 1.1,,,0.8799943459441046
John Trevor (1563–1630),,,0.9735320327210321
La Vie Éco,,,0.9075982670916021
Jessie Mackay,,,0.9033334866206213
Hong Kong Academy,,,0.9465927632680722
Adolphus Howells,,,0.9218399015596958
Naoki Nakahigashi,,,0.9148513742672213
Lattanzio da Rimini,,,0.8422215296465702
Trechus amblygonellus,,,0.7641538143921407
Namib brush-tailed gerbil,,,0.9334453605407552
Solomon Busendich,,,0.9115030733521642
Portofino (musical),,,0.9261668408394667
My Name Is Victor Gazon,,,0.9458267477425231
The Long Tomorrow (novel),,,0.9439953096702876
W. Roy McCutcheon,,,0.8293583498569843
Ronald Reagan Boyhood Home,,,0.9037261071339486
"Lake Providence, Louisiana",,,0.9150635860005739
Yeltsovsky District,,,0.7036356517713949
Bishop Hoban High School,,,0.9095569342563053
Albanian wine,,,0.9072168249753926
1997 All-Ireland Minor Football Championship,,,0.9427211341468423
Timothy Williams (actor),,,0.9143996272051612
Vriesea pastuchoffiana,,,0.11177699529769988
Greek Left,,,0.9185476118110877
Gordon Ferrie Hull,,,0.8854111924784291
Mahamudu Bawumia,,,0.9163546768362791
Mosa Meat,,,0.8795507282322059
Canton of Pleslin-Trigavou,,,0.9133779087872455
Linkall UAVs,,,0.9386885099023656
Krongpol Daorueang,,,0.9516010379345363
Fred G. Leebron,,,0.8963621114646948
Che Kung Temple station,,,0.9726267793631466
"Aşağıakça, Kastamonu",,,0.6754526612921558
