,Main Title Tier,Secondary Title Tier,Main Analysis
List of IBM products,,,0.9779942234526163
Amdahl Corporation,,,0.9790896779658276
Midrange computer,,,0.99247839760699
Linux on IBM Z,,,0.9712237078836568
IBM Secure Service Container,,,0.9940700229930998
History of IBM magnetic disk drives,,,0.4729744749236949
History of hard disk drives,,,0.6846885657134381
OS/360 and successors,,,0.8841517919748206
Category:IBM products,,,0.882807847830271
Magnuson Computer Systems,,,0.9312743614852379
IBM System/390,,,0.9811808874418132
Trilogy Systems,,,0.9730621281171477
Amdahl UTS,,,0.9558970738302436
IBM mainframe,,,0.9998202331510072
Superminicomputer,,,0.9243244768828852
Minicomputer,,,0.9747666363673196
Microcomputer,,,0.949012084424841
Comparison of Linux distributions,,,0.9750615355286686
OpenSolaris for System z,,,0.9892278693624454
PowerLinux,,,0.985690613600778
UNIX System Services,,,0.9947636082148935
zIIP,,,0.99238745349874
z Application Assist Processor,,,0.9944349209290843
Transaction Processing Facility,,,0.9676252623148635
VSE (operating system),,,0.9795136839357608
History of the floppy disk,,,0.632672846264115
IBM System/360,,,0.7938208535901474
IBM System/370,,,0.9456387843641922
IBM 303X,,,0.8772478799758535
IBM 308X,,,0.9132750123996934
IBM 3090,,,0.9018498915240233
IBM Z,,,0.9857573841427955
The Soul of a New Machine,,,0.9707807368938385
Charles Babbage Institute,,,0.968192114156182
History of computing hardware (1960s–present),,,0.9654100514391046
Lists of microcomputers,,,0.9468524242718594
Mainframe computer,,,0.9916029796873251
Personal computer,,,0.9318384893267846
Supercomputer,,,0.9810537874345184
Portal:Free and open-source software,,,0.9877273042647199
File:NewTux.svg,,,0.9010272550740968
Integrated Facility for Linux,,,0.9932912341440697
z/OS,,,0.9905065667862174
z/VM,,,0.993436541950058
History of IBM mainframe operating systems,,,0.9676870205409642
Floppy disk variants,,,0.697795467896874
List of floppy disk formats,,,0.7699001721836415
