,Main Title Tier,Secondary Title Tier,Main Analysis
List of IBM products,,,0.7695504469194425
Amdahl Corporation,,,0.6525294979365364
Midrange computer,,,0.7390075715711923
Linux on IBM Z,,,0.7514825113898672
IBM Secure Service Container,,,0.7897564569077868
History of IBM magnetic disk drives,,,0.6130601911795505
History of hard disk drives,,,0.6599865914829453
OS/360 and successors,,,0.6415170565313946
Category:IBM products,,,0.7042317086334932
Magnuson Computer Systems,,,0.6533850463970132
IBM System/390,,,0.7889608052176701
Trilogy Systems,,,0.6301192249743568
Amdahl UTS,,,0.7078488522289333
IBM mainframe,,,0.9659698887124589
Superminicomputer,,,0.6785160980326773
Minicomputer,,,0.6257441570623651
Microcomputer,,,0.4998649798811195
Comparison of Linux distributions,,,0.7821098936004288
OpenSolaris for System z,,,0.7462909353442059
PowerLinux,,,0.7224279809860322
UNIX System Services,,,0.7465545415971564
zIIP,,,0.6904744446122307
z Application Assist Processor,,,0.7383502993100021
Transaction Processing Facility,,,0.5850006400058225
VSE (operating system),,,0.7251021728640323
History of the floppy disk,,,0.5472575535424152
IBM System/360,,,0.6630712607374756
IBM System/370,,,0.6798631104857411
IBM 303X,,,0.6423481367328634
IBM 308X,,,0.6376080280198348
IBM 3090,,,0.7167995624499155
IBM Z,,,0.711217023760553
The Soul of a New Machine,,,0.47959026980699343
Charles Babbage Institute,,,0.5813267434653994
History of computing hardware (1960s–present),,,0.5910603753796425
Lists of microcomputers,,,0.5669246120329283
Mainframe computer,,,0.49296556760305876
Personal computer,,,0.28363855169821917
Supercomputer,,,0.34364764302496686
Portal:Free and open-source software,,,0.5131041755330409
File:NewTux.svg,,,0.7036331391080092
Integrated Facility for Linux,,,0.7183102860710202
z/OS,,,0.5192730285329884
z/VM,,,0.7345314514645059
History of IBM mainframe operating systems,,,0.647726339168505
Floppy disk variants,,,0.40865540629206604
List of floppy disk formats,,,0.6253504505337439
History of IBM,,,0.35943630804587023
IBM System/4 Pi,,,0.7857553323457738
Gerrit Blaauw,,,0.7357186108801541
Bob O. Evans,,,0.7013811620851006
PC-based IBM-compatible mainframes,,,0.6198842694109324
Hercules (emulator),,,0.6273733325006646
IBM 9370,,,0.6204851297253996
Peer to Peer Remote Copy,,,0.5559769763845114
Extended Remote Copy,,,0.5041507828011927
Logical partition,,,0.49250514454101313
HiperSocket,,,0.6125417953401889
ESCON,,,0.4407616005183106
FICON,,,0.40532623934813894
IBM Parallel Sysplex,,,0.534113073613008
Gameframe,,,0.7100719787100802
History of computing,,,0.38858005245300886
History of computing hardware,,,0.3357776663706594
History of operating systems,,,0.5765655913197861
History of the Internet,,,0.3516084576645826
Internet governance,,,0.17161620020463816
List of pioneers in computer science,,,0.6839028957375445
Standards organization,,,0.16699291005209976
Influence of the IBM PC on the personal computer market,,,0.39728250133558507
Timeline of computing,,,0.6984074239793975
History of software,,,0.3449184061393309
Processor design,,,0.3561104373336997
History of the graphical user interface,,,0.33332038263229824
Timeline of programming languages,,,0.325240859238078
Hardware description language,,,0.34133234417951774
Hardware abstraction,,,0.44623760023855963
Computer architecture,,,0.34781704278228
List of fictional computers,,,0.5651083358796639
Fifth generation computer,,,0.349001485452367
Quantum computing,,,0.33555103414416043
Curta,,,0.28272349313792794
Pirates of Silicon Valley,,,0.293590091236501
Triumph of the Nerds,,,0.5023927007528225
Ubiquitous computing,,,0.3125033973821754
Internet of things,,,0.16396465469432125
Fog computing,,,0.38328110704530566
Edge computing,,,0.4096212681471306
Ambient intelligence,,,0.34131077394029546
System on a chip,,,0.2740207705429674
