,Main Title Tier,Secondary Title Tier,Main Analysis
List of IBM products,0.640413616,0.976155357,0.978880581
Amdahl Corporation,0.298526525,,
Midrange computer,0.243240476,,
Linux on IBM Z,0.105824482,,
IBM Secure Service Container,0.554744059,0.970886969,0.990998706
History of IBM magnetic disk drives,0.523141546,0.904810777,0.437956021
History of hard disk drives,0.828000793,0.982555499,0.696760762
OS/360 and successors,0.25931828,,
Category:IBM products,0.656364053,0.923896981,0.942106924
Magnuson Computer Systems,0.738603347,0.762886177,0.960199547
IBM System/390,0.745018621,0.953903495,0.983031434
Trilogy Systems,0.116718508,,
Amdahl UTS,0.813730022,0.981579244,0.986692099
IBM mainframe,0.71920018,0.950069755,0.999727674
Superminicomputer,0.017061805,,
Minicomputer,0.764788121,0.984941839,0.978499007
Microcomputer,-0.270404975,,
Comparison of Linux distributions,0.720687217,0.97343091,0.979612844
OpenSolaris for System z,0.234181964,,
PowerLinux,-0.032935837,,
UNIX System Services,0.791424487,0.943320791,0.991028672
zIIP,-0.287629273,,
z Application Assist Processor,0.879010203,0.943422649,0.991331138
Transaction Processing Facility,0.707150472,0.972892212,0.95744927
VSE (operating system),-0.010324917,,
History of the floppy disk,0.576532221,0.910942997,0.668224538
IBM System/360,0.627664484,0.989771893,0.804647111
IBM System/370,0.755457122,0.982044072,0.956778455
IBM 303X,-0.052150248,,
IBM 308X,0.756550328,0.90302085,0.867706407
IBM 3090,0.632631714,0.680068218,0.909046761
IBM Z,0.326353733,,
The Soul of a New Machine,-0.162927448,,
Charles Babbage Institute,0.147227906,,
History of computing hardware (1960sâ€“present),0.488558032,,
Lists of microcomputers,0.750357878,-0.173559534,
Mainframe computer,0.601174409,0.980443837,0.989017049
Personal computer,0.170245537,,
Supercomputer,0.053181164,,
Portal:Free and open-source software,0.780357893,-0.168752196,
File:NewTux.svg,0.403737509,,
Integrated Facility for Linux,0.199982153,,
z/OS,0.333162567,,
z/VM,0.611686121,0.91356444,0.970859612
History of IBM mainframe operating systems,0.702468417,0.922503923,0.967003245
Floppy disk variants,0.464429088,,
List of floppy disk formats,0.843942204,0.985473687,0.759918557
History of IBM,0.353768817,,
IBM System/4 Pi,0.371249377,,
Gerrit Blaauw,-0.056622195,,
Bob O. Evans,0.24367598,,
PC-based IBM-compatible mainframes,0.74806762,0.986075156,0.967569302
Hercules (emulator),0.608660747,0.962991957,0.997463235
IBM 9370,-0.113286402,,
Peer to Peer Remote Copy,0.751523115,0.949863616,0.886343331
Extended Remote Copy,0.727097322,0.970132541,0.933987153
Logical partition,0.782745895,0.968283791,0.990223686
HiperSocket,0.051928605,,
ESCON,-0.024202664,,
FICON,0.872510412,0.963565314,0.90420918
IBM Parallel Sysplex,0.680878408,0.953586799,0.975229913
Gameframe,-0.235352329,,
History of computing,0.822345638,0.944714829,0.929567848
History of computing hardware,0.869793127,0.993784357,0.940395514
History of operating systems,0.792025574,0.961678529,0.995177049
History of the Internet,0.539723734,0.987425568,0.951454885
Internet governance,0.006995023,,
List of pioneers in computer science,0.800789057,0.905565727,0.982432146
Standards organization,0.247036577,,
Influence of the IBM PC on the personal computer market,0.305805142,,
Timeline of computing,0.269765952,,
History of software,-0.062662661,,
Processor design,0.750377938,0.835709923,0.941963175
History of the graphical user interface,0.697272988,0.965267969,0.969882443
Timeline of programming languages,0.65252032,0.950205523,0.796118825
Hardware description language,0.890815689,0.984239194,0.966803909
Hardware abstraction,0.135539078,,
Computer architecture,0.759774461,0.973136498,0.967841764
List of fictional computers,-0.019247799,,
Fifth generation computer,0.324754243,,
Quantum computing,0.73808149,0.921052104,0.953577274
Curta,-0.09896434,,
Pirates of Silicon Valley,0.918077965,0.960796275,0.917987779
Triumph of the Nerds,-0.155592903,,
Ubiquitous computing,0.804191199,0.984569215,0.968077437
Internet of things,0.101726949,,
Fog computing,0.468163722,,
Edge computing,0.762304881,0.949149366,0.942765561
Ambient intelligence,0.232426508,,
System on a chip,-0.075385354,,
Network on a chip,0.833045757,0.98896519,0.972541523
Channel I/O,0.28893501,,
Cloud computing,0.65234388,0.969233335,0.986967026
Classes of computers,0.663274677,0.94303849,0.969471547
Failover,-0.288431523,,
File:Nuvola apps ksim.png,0.789855487,0.835348847,0.848048293
Portal:Technology,0.75886208,0.985008529,0.962041576
ACM/IEEE Supercomputing Conference,-0.103995009,,
ACM SIGHPC,0.102121203,,
High-performance technical computing,-0.081542748,,
Jungle computing,0.827024469,0.941968245,0.96079565
Nvidia Tesla Personal Supercomputer,0.359650986,,
Parallel computing,0.820721094,0.948859011,0.992737886
Supercomputing in China,0.116627437,,
Supercomputing in Europe,0.166844499,,
Supercomputing in India,0.015934687,,
Supercomputing in Japan,-0.032320748,,
Testing high-performance computing applications,0.81995458,-0.082421503,
Ultra Network Technologies,0.388252908,,
MVS,0.417372177,,
HiperDispatch,0.023687328,,
Intelligent Resource Director,-0.129954013,,
Resource Measurement Facility,0.094289405,,
SDSF,0.080539811,,
IBM System Management Facilities,0.85809881,0.859008122,0.948798083
SMP/E,0.112463088,,
Workload Manager,0.896829325,0.898153479,0.991598324
PR/SM,0.660161544,-0.06372167,
Time-sharing system evolution,0.310933595,,
Timeline of operating systems,0.366984262,,
Floppy disk,0.255850985,,
dd (Unix),0.822525115,0.946706959,0.85203149
Disk image,0.244429218,,
Disk storage,0.763917724,0.981150357,0.673390417
Don't Copy That Floppy,0.478790591,,
Floppy-disk controller,0.640270019,0.859480952,0.804207901
Floppy disk format,0.833419052,0.967088235,0.772060573
Floppy disk hardware emulator,0.863870394,0.984577634,0.777509633
Group coded recording,0.160595791,,
Sneakernet,0.308600308,,
Zip drive,0.474393766,,
PocketZip,-0.027461408,,
Category:IBM,0.805091871,0.878868709,0.93383086
1986â€“87 Birmingham City F.C. season,-0.08727763,,
Gemmi Pass,0.115078592,,
Meloe brevicollis,0.122548056,,
Air Staff (Sweden),0.70378456,0.992042829,0.884357621
Vaplan,-0.040173708,,
Potentilla rimicola,-0.188934806,,
Horst Kuttelwascher,0.164059676,,
Exeter pound,0.244774461,,
Environmental Transport Association,0.636333069,0.875913829,0.888332655
