,Main Title Tier,Secondary Title Tier,Main Analysis
William A. Catterall,0.09810488698063546,,
Ruud Vormer,-0.05773708822580234,,
Avalon High (film),0.8991001653723915,0.905906372147914,0.8596358190277884
John Mystikos,0.13349303731827225,,
Satoko Shinashi,-0.08437650927992764,,
Pan African Universities Debating Championship,-0.03784688034266262,,
Belokamenny,-0.16160800802478392,,
The Sanctuary (Derby),0.02638935090473713,,
MIS Quarterly Executive,-0.1723610434210335,,
Joe Daniher,-0.10930330208132513,,
"Deodoro, Rio de Janeiro",0.7395214543423863,-0.012570708066293974,
Saipung,0.026475703358780595,,
Dmitry Rylov,-0.016785173607178357,,
Frycowa,0.026852095710480462,,
Rugby São Carlos,0.1017133018945228,,
"Nanticoke Lodge No. 172, A.F. and A.M.",-0.1371923079876013,,
Jack Hixon,-0.09802783129015233,,
Mahmoud Mirlohi,-0.013567123855826103,,
Simply Deep,0.7038096863502408,0.9808305585535689,0.8756704981709067
Lulu International Shopping Mall,0.5464874912115427,0.9381987415828495,0.9159808637042364
Karazirek,0.09429048948532441,,
Kurt Svensson (ice hockey),0.011650176215649182,,
Tina Reilly,-0.3023967827318715,,
R v Mapara,0.06745961683576074,,
"Celestynów, Opoczno County",-0.106080610603357,,
Zákányszék,0.02990610931440114,,
Glyphidocera pali,0.14746440204977418,,
Nassarius cockburnensis,-0.12902093702122086,,
Lola Margaret,0.09740536992519418,,
Jack Doubleday,-0.09971351792127614,,
Breathe Again: Toni Braxton at Her Best,0.6280389399256063,0.8775234808489711,0.9586498766946303
Mordellistena breddini,-0.18330107520783287,,
List of people from Monterrey,0.80188516352986,0.8785324088999455,0.9182524186969837
Mie kocok,0.1764494270059284,,
Rancho Agua Caliente (Pina),-0.03278073606630195,,
Simon Lehoko,0.1410166472176244,,
Clarkton Depot,-0.13532523405247157,,
Derby 10k,-0.018095525299767982,,
Ralph Beard (baseball),-0.054123498627513755,,
Large-format projection,0.1318868174211887,,
Borbo impar,-0.034262177569707786,,
Biman Banerjee,-0.07540751868776759,,
Kerkerbach,-0.1394316700799777,,
Mahama Cho,-0.12497928453847253,,
1969 USAC Championship Car season,0.5713876652257232,0.7060100428619954,0.9213763761423058
Wildlife disease,0.22802288176663324,,
Time Team (series 9),0.7352074563230222,0.06393745444996725,
Chin Check,-0.03474329968267659,,
"Pfeiffer, Arkansas",-0.08298308773380052,,
Dean McAdams,-0.24200413287272013,,
2012 end-of-year rugby union internationals,0.08663932208369177,,
1969 College Football All-America Team,0.6414300818404197,0.9624679328828165,0.8984201915150606
Texican Style: Live from Austin (Los Lonely Boys DVD),-0.036340010104035377,,
Hybomitra muehlfeldi,0.06246964990935342,,
All-time Miami FC (2006) roster,0.16909034307258525,,
Herbert John Webber,-0.13689628430121184,,
Russoft,-0.021200733856216836,,
Gaming the system,-0.1630432570070932,,
Ultra Panic,0.12328844154269156,,
Lhasa (album),-0.045049499098620195,,
Subtalar joint,0.17888561273402814,,
24th School Wing,0.05551370386869487,,
Harsh Vashisht,0.1152997620444283,,
The True Sound of the New West,0.8835952029238142,0.9140371741956408,0.9361267700120542
South Asia Partnership Pakistan,0.7742437849060959,0.7207577506951961,0.9565709843080478
X-ray microtomography,-0.03902133801111706,,
Armour Inlet,0.15794754957882748,,
Nah Cardoso,-0.03935275323751775,,
Otis Taylor (American football),-0.05259324185439563,,
Loch of Kirbister,0.08424066261111214,,
Zombe,-0.10716171579432923,,
Gjesdal (surname),-0.04609679488546804,,
Joseph Parnes,-0.16864546932633034,,
Bill Holden (schoolteacher),0.14576505918608548,,
"Przyłęk, Łódź Voivodeship",-0.07736206467326469,,
Projection mapping,0.21908261649224972,,
Adelaar,0.08730171989434393,,
Opo (dolphin),0.09733205199792071,,
Daniel O'Daly,0.07221987541302254,,
Olivier Irabaruta,-0.1458243460377679,,
"Przyłęki, Greater Poland Voivodeship",0.8427381937455648,-0.0009872303950140939,
Standard written English,0.44504958686467894,,
Constituency LA-35,0.12061374030566747,,
Ontonagon Indian Reservation,0.031649663837331574,,
Emphytoecia dimidiata,-0.1772634879215665,,
Wrestling at the 1998 Asian Games – Men's Greco-Roman 58 kg,0.18785404834967767,,
"Vohipeno, Fenerive Est",-0.10996946768633171,,
Dutchess Quarry Cave Site,0.16412295191512158,,
Consumed (book),0.8393822429809261,0.0060832283312636315,
Robert Half International,0.7513335399029019,0.9768894942200953,0.9546599653415722
Zagorsko,0.03409800317667997,,
Ojców National Park,-0.11329796712005226,,
Jules Nadi,-0.16954722358513888,,
Galactic Empire (Isaac Asimov),-0.0872974292504837,,
Datu Uto,0.11060425444624775,,
Black-backed water tyrant,0.8208604513577954,0.9010315690148035,0.9211159969606815
Performance poetry,0.7641491072750983,0.9845947009738779,0.9332336114922586
KKLF,-0.052690970508187544,,
Sakrepatna,-0.023267857214507675,,
Guaranteed Pure Milk bottle,-0.14678681787249676,,
