,Main Title Tier,Secondary Title Tier,Main Analysis
William A. Catterall,,,0.9311699254973457
Ruud Vormer,,,0.8600321464794248
Avalon High (film),,,0.9081325827693801
John Mystikos,,,0.9585429710041197
Satoko Shinashi,,,0.8838961605362962
Pan African Universities Debating Championship,,,0.9015760100032238
Belokamenny,,,0.9132782761831338
The Sanctuary (Derby),,,0.919746353591137
MIS Quarterly Executive,,,0.869773068660768
Joe Daniher,,,0.9174885009252675
"Deodoro, Rio de Janeiro",,,0.961649348587474
Saipung,,,0.8891378303077672
Dmitry Rylov,,,0.9482779805839544
Frycowa,,,0.76760952520483
Rugby São Carlos,,,0.9400385103305045
"Nanticoke Lodge No. 172, A.F. and A.M.",,,0.8956527289674976
Jack Hixon,,,0.8166310814530542
Mahmoud Mirlohi,,,0.9578054420523213
Simply Deep,,,0.8726538700956051
Lulu International Shopping Mall,,,0.9207769316678309
Karazirek,,,0.7203045949111456
Kurt Svensson (ice hockey),,,0.7016361447563996
Tina Reilly,,,0.9453377656118905
R v Mapara,,,0.8850455434227302
"Celestynów, Opoczno County",,,0.8913195030241511
Zákányszék,,,0.8368834929136355
Glyphidocera pali,,,0.816746192083598
Nassarius cockburnensis,,,0.7062217621084226
Lola Margaret,,,0.8742981012239428
Jack Doubleday,,,0.761574250103457
Breathe Again: Toni Braxton at Her Best,,,0.9532960867122315
Mordellistena breddini,,,0.7173306567805452
List of people from Monterrey,,,0.9802475071436804
Mie kocok,,,0.9936656314294884
Rancho Agua Caliente (Pina),,,0.8894104693606235
Simon Lehoko,,,0.9317996179375087
Clarkton Depot,,,0.9454457276738316
Derby 10k,,,0.9318013346046852
Ralph Beard (baseball),,,0.9262295871814173
Large-format projection,,,0.9019171459109451
Borbo impar,,,0.6875272608406799
Biman Banerjee,,,0.8939239283544974
Kerkerbach,,,-0.15145933897237054
Mahama Cho,,,0.8907249162565133
1969 USAC Championship Car season,,,0.9312034441273483
Wildlife disease,,,0.9472294485869045
Time Team (series 9),,,0.9143899998451435
Chin Check,,,0.9430964641949215
"Pfeiffer, Arkansas",,,0.8794416330110085
Dean McAdams,,,0.6627576739288995
2012 end-of-year rugby union internationals,,,0.922856258094141
1969 College Football All-America Team,,,0.8949774574226629
Texican Style: Live from Austin (Los Lonely Boys DVD),,,0.9276580915909345
Hybomitra muehlfeldi,,,0.9707779335677329
All-time Miami FC (2006) roster,,,0.9616752115634121
Herbert John Webber,,,0.926220637660561
Russoft,,,0.9764919483156864
Gaming the system,,,0.9636737020210886
Ultra Panic,,,0.9746102722394937
Lhasa (album),,,0.8923677747884441
Subtalar joint,,,0.8811407265057614
24th School Wing,,,0.8883478731771496
Harsh Vashisht,,,0.8667425853945611
The True Sound of the New West,,,0.9454465396389092
South Asia Partnership Pakistan,,,0.9513311415259181
X-ray microtomography,,,0.9079958433816837
Armour Inlet,,,0.8706820560152396
Nah Cardoso,,,0.8825497705592825
Otis Taylor (American football),,,0.9236502007125277
Loch of Kirbister,,,0.8420197271248955
Zombe,,,0.9115671770278642
Gjesdal (surname),,,0.9374215172507137
Joseph Parnes,,,0.9397148608116604
Bill Holden (schoolteacher),,,0.9004711808160007
"Przyłęk, Łódź Voivodeship",,,0.8936468780354411
Projection mapping,,,0.9472541241814546
Adelaar,,,0.9420701703601668
Opo (dolphin),,,0.8962033255315323
Daniel O'Daly,,,0.8843094838010528
Olivier Irabaruta,,,0.9307873469829604
"Przyłęki, Greater Poland Voivodeship",,,0.8645281701164378
Standard written English,,,0.9246033991089607
Constituency LA-35,,,0.9279765909832904
Ontonagon Indian Reservation,,,0.9340560329537928
Emphytoecia dimidiata,,,0.8980641021417075
Wrestling at the 1998 Asian Games – Men's Greco-Roman 58 kg,,,0.9464628979114407
"Vohipeno, Fenerive Est",,,0.9333195445950102
Dutchess Quarry Cave Site,,,0.949687286931029
Consumed (book),,,0.9256763082552397
Robert Half International,,,0.9554282971515754
Zagorsko,,,0.8402884590375742
Ojców National Park,,,0.9851121118745011
Jules Nadi,,,0.9354899695326416
Galactic Empire (Isaac Asimov),,,0.9222794095307574
Datu Uto,,,0.9244772185439268
Black-backed water tyrant,,,0.8968124188460112
Performance poetry,,,0.9391483152269704
KKLF,,,0.9365620562183559
Sakrepatna,,,0.7609100990084999
Guaranteed Pure Milk bottle,,,0.9402904938493634
