Corpus Type,Multi-tiered,Size,Time elapsed (seconds)
related,TRUE,10,3.5639896392822266
related,FALSE,10,4.197653293609619
random,TRUE,10,0.661123514175415
random,FALSE,10,1.1814823150634766
fifty_fifty,TRUE,10,1.2048377990722656
fifty_fifty,FALSE,10,1.6861274242401123
related,TRUE,100,21.81714916229248
related,FALSE,100,33.382073640823364
random,TRUE,100,2.6498796939849854
random,FALSE,100,8.523987054824829
fifty_fifty,TRUE,100,10.81174635887146
fifty_fifty,FALSE,100,20.45213532447815
related,TRUE,1000,219.2555811405182
related,FALSE,1000,394.85518860816956
random,TRUE,1000,22.35530114173889
random,FALSE,1000,98.90540790557861
fifty_fifty,TRUE,1000,125.76430416107178
fifty_fifty,FALSE,1000,234.06663990020752
