Corpus Type,Multi-tiered,Size,Time elapsed (seconds)
related,TRUE,10,3.0988869667053223
related,FALSE,10,4.2042741775512695
random,TRUE,10,0.29583072662353516
random,FALSE,10,2.3341403007507324
fifty_fifty,TRUE,10,1.6250805854797363
fifty_fifty,FALSE,10,1.791551113128662
related,TRUE,100,19.755144834518433
related,FALSE,100,33.41166377067566
random,TRUE,100,2.956286907196045
random,FALSE,100,7.342458486557007
fifty_fifty,TRUE,100,10.234868288040161
fifty_fifty,FALSE,100,21.36031436920166
related,TRUE,1000,261.7087872028351
related,FALSE,1000,394.80777382850647
random,TRUE,1000,29.38996434211731
random,FALSE,1000,98.3049521446228
fifty_fifty,TRUE,1000,142.45121788978577
fifty_fifty,FALSE,1000,229.71328473091125
